id	ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE
uli-594_101	Democratic Republic of the Congo	République démocratique du Congo	Repoblika Demokratikan'i Kongo
uli-594_102	Djibouti	Djibouti	Djibouti
uli-594_103	Egypt	Egypte	Ejipta
uli-594_104	Equatorial Guinea	Guinée équatoriale	Ginea Ekoatorialy
uli-594_105	Eritrea	Érythrée	Eritrea
uli-594_106	Eswatini	Eswatini	Eswatini
uli-594_107	Ethiopia	Ethiopie	Etiopia
uli-594_108	Gabon	Gabon	Gabon
uli-594_109	Gambia	Gambie	Gambia
uli-594_110	Ghana	Ghana	Ghana
uli-594_111	Guinea	Guinée	Ginea
uli-594_112	Guinea-Bissau	Guinée-Bissau	Ginea-Bisao
uli-594_113	Ivory Coast	Côte d'Ivoire	Côte d'Ivoire
uli-594_114	Kenya	Kenya	Kenya
uli-594_115	Lesotho	Lesotho	Lesotho
uli-594_116	Liberia	Libéria	Liberia
uli-594_117	Libya	Libye	Libya
uli-594_118	Madagascar	Madagascar	Madagasikara
uli-594_119	Malawi	Malawi	Malawi
uli-594_120	Mali	Mali	Mali
uli-594_121	Mauritania	Mauritanie	Maoritania
uli-594_122	Mauritius	Île Maurice	Maorisy
uli-594_123	Morocco	Maroc	Maraoka
uli-594_124	Mozambique	Mozambique	Mozambika
uli-594_125	Namibia	Namibie	Namibia
uli-594_126	Niger	Niger	Nizera
uli-594_127	Nigeria	Nigeria	Nizeria
uli-594_128	Rwanda	Rwanda	Rwanda
uli-594_129	Sao Tome and Principe	Sao Tomé-et-Principe	Sao Tome sy Principe
uli-594_130	Senegal	Sénégal	Senegal
uli-594_131	Seychelles	Seychelles	Seisela
uli-594_132	Sierra Leone	Sierra Leone	Sierra Leone
uli-594_133	Somalia	Somalie	Somalia
uli-594_134	South Africa	Afrique du Sud	Afrika Atsimo
uli-594_135	South Sudan	Soudan du Sud	Sodana Atsimo
uli-594_136	Sudan	Soudan	Sodana
uli-594_137	Tanzania	Tanzanie	Tanzania
uli-594_138	Togo	Aller	Togo
uli-594_139	Tunisia	Tunisie	Tonizia
uli-594_140	Uganda	Ouganda	Oganda
uli-594_141	Zambia	Zambie	Zambia
uli-594_142	Zimbabwe	Zimbabwe	Zimbaboe
uli-594_143	1	1	1
uli-594_144	2	2	2
uli-594_145	3	3	3
uli-594_146	4	4	4
uli-594_147	5	5	5
uli-594_148	6	6	6
uli-594_149	7	7	7
uli-594_150	8	8	8
uli-594_151	9	9	9
uli-594_152	10	10	10
uli-594_153	11	11	11
uli-594_154	12	12	12
uli-594_155	13	13	13
uli-594_156	14	14	14
uli-594_157	15	15	15
uli-594_158	20	20	20
uli-594_159	30	30	30
uli-594_160	40	40	40
uli-594_161	50	50	50
uli-594_162	60	60	60
uli-594_163	70	70	70
uli-594_164	80	80	80
uli-594_165	90	90	90
uli-594_166	100	100	100
uli-594_167	200	200	200
uli-594_168	1000	1000	1000
uli-594_169	5000	5000	5000
uli-594_170	10000	10000	10000
uli-594_171	He left 1 hour ago	Il est parti il ​​y a une heure	Adiny 1 izay no nahalasa azy
uli-594_172	He left 2 hours ago	Il est parti il ​​y a 2 heures	Adiny 2 izay no nahalasa azy
uli-594_173	He left 5 hours ago	Il est parti il ​​y a 5 heures	Adiny 5 izay no nahalasa azy
uli-594_174	He left 1 minute ago	Il est parti il ​​y a une minute	1 minitra izay no nahalasa azy
uli-594_175	He left 2 minutes ago	Il est parti il ​​y a 2 minutes	2 minitra izay no nahalasa azy
uli-594_176	He left 5 minutes ago	Il est parti il ​​y a 5 minutes	5 minitra izay no nahalasa azy
uli-594_177	He left 1 second ago	Il est parti il ​​y a une seconde	1 segondra izay no nahalasa azy
uli-594_178	He left 2 seconds ago	Il est parti il ​​y a 2 secondes	2 segondra izay no nahalasa azy
uli-594_179	He left 5 seconds ago	Il est parti il ​​y a 5 secondes	5 segondra izay no nahalasa azy
uli-594_180	He left 1 day ago	Il est parti il ​​y a un jour	1 andro izay no nahalasa azy
uli-594_181	He left 2 days ago	Il est parti il ​​y a 2 jours	2 andro izay no nahalasa azy
uli-594_182	He left 5 days ago	Il est parti il ​​y a 5 jours	5 andro izay no nahalasa azy
uli-594_183	He left 1 week ago	Il est parti il ​​y a une semaine	1 herinandro izay no nahalasa azy
uli-594_184	He left 2 weeks ago	Il est parti il ​​y a 2 semaines	2 herinandro izay no nahalasa azy
uli-594_185	He left 5 weeks ago	Il est parti il ​​y a 5 semaines	5 herinandro izay no nahalasa azy
uli-594_186	He finished school 1 month ago	Il a terminé ses études il y a un mois	1 volana izay no nahavitany fianarana
uli-594_187	He finished school 2 months ago	Il a terminé ses études il y a 2 mois	2 volana izay no nahavitany fianarana
uli-594_188	He finished school 5 months ago	Il a terminé ses études il y a 5 mois	5 volana izay no nahavitany fianarana
uli-594_189	He finished school 1 year ago	Il a terminé ses études il y a un an.	1 taona izay no nahavitany fianarana
uli-594_190	He finished school 2 years ago	Il a terminé ses études il y a 2 ans	2 taona izay no nahavitany fianarana
uli-594_191	He finished school 5 years ago	Il a terminé ses études il y a 5 ans	5 taona izay no nahavitany fianarana
uli-594_192	Does this picture look accurate?	Cette image vous semble-t-elle fidèle ?	Mitombina ve ny fahitanao ity sary ity?
uli-594_193	If this picture doesn't look accurate, why? Please explain.	Si cette image ne vous semble pas exacte, pourquoi ? Veuillez expliquer.	Raha tsy mitombina ny fahitanao ity sary ity, nahoana? Hazavao azafady.
uli-594_194	What would be a more accurate way?	Quelle serait une méthode plus précise ?	Inona no fomba mitombina kokoa?
uli-594_195	Correct	Correct	Marina
uli-594_196	Incorrect	Incorrect	Diso
uli-594_197	Computer	Ordinateur	Solosaina
uli-594_198	Telephone	Téléphone	Telefaonina
uli-594_199	Smart Phone	Smartphone	Smartfaonina
uli-594_200	App	Application	App
uli-594_201	Website	Site web	Tranonkala
uli-594_202	Internet	Internet	Aterineto
uli-594_203	email address	adresse email	adiresy mailaka
uli-594_204	email	e-mail	mailaka
uli-594_205	Bank	Banque	Banky
uli-594_206	Movie	Film	Sarimihetsika
uli-594_207	Game	Jeu	Lalao
uli-594_208	Sports	Sportif	Fanatanjahantena
uli-594_209	Education	Éducation	Fanabeazana
uli-594_210	Doctor	Médecin	Mpitsabo
uli-594_211	School	École	Sekoly
uli-594_212	Weather	Météo	Toetrandro
uli-594_213	Calendar	Calendrier	Tetiandro
uli-594_214	Clock	Horloge	Famantaranandro
uli-594_215	Temperature	Température	Maripana
uli-594_216	Hotel	Hôtel	Trano Fandraisambahiny
uli-594_217	Airplane	Avion	Fiaramanidina
uli-594_218	Train	Former	Fiarandalamby
uli-594_219	Restaurant	Restaurant	Trano Fisakafoana
uli-594_220	Hospital	Hôpital	Hopitaly
uli-594_221	Car	Voiture	Fiara
uli-594_222	Motocycle	Moto	Kodiarandroa
uli-594_223	Bus	Bus	Bus
uli-594_224	Taxi	Taxi	Fiarankaretsaka
uli-594_225	Post Office	Bureau de poste	Biraon'ny paositra
