id	ENGLISH	TRANSLATION IN YOUR LANGUAGE
Local Organization Form-6	What organizations are you part of, and what is this organization's relationship with the language? For example, you could be part of an academic institution, a non-profit organization that focuses on this language, a government ministry focused on language, or a company that uses this language in its work. 	Fikambanana inona no misy anao, ary inona no fifandraisan’io fikambanana io amin’ilay teny? Ohatra, mety ho ao anatin’ny toeram-pampianarana iray, fikambanana tsy itadiavam-bola iray mifantoka amin’io teny io, minisiteran’ny governemanta mifantoka amin’ny teny, na orinasa iray mampiasa io teny io amin’ny asany ianao.
Survey Tool	Translations in the Unicode Common Locale Data Repository are collected and managed through an online platform called the Survey Tool. This tool lets people view language data, suggest new translations or corrections, see what others have submitted, and discuss differences to reach agreement. During each submission period, contributors—including members of the Unicode Consortium, organizations, and the general public—are invited to review data for their languages and regions and propose updates. These updates can range from small wording changes to adding support for languages that are entirely new to the repository. Instead of a small group deciding everything in private, the tool lets many contributors discuss and vote, so the data reflects real language use. After several review stages, the approved information becomes part of the CLDR database, which is used by millions of phones, websites, and apps worldwide.	Ireo dikanteny ao amin’ny Unicode Common Locale Data Repository dia angonina sy tantanana amin’ny alalan’ny vovonana an-jotra iray antsoina hoe Fitaovana Fitsapan-kevitra. Ity fitaovana ity dia ahafahan’ny olona mijery angondraki-teny, mandroso dikanteny vaovao na fanitsiana, mahita izay naroson’ny hafa, ary miady hevitra momba ireo fahasamihafana mba hahatongavana amin’ny marimaritra iraisana. Mandritra ny vanim-potoana fandrosoana tsirairay, ireo mpandrotsaka—anisan’izany ireo mpikambana ao amin’ny Unicode Consortium, ireo fikambanana ary ny besinimaro ankapobeny—dia asaina handinika angondrakitra momba ireo teny sy faritr’izy ireo ary hanolotra fanavaozana. Ireny fanavaozana ireny dia mety hiovaova manomboka amin’ny fanovana fanoratana kely hatramin’ny fanampiana tohana ho an’ireo tenim-pirenena izay vaovao tanteraka ao amin’ilay tobin'angondrakitra. Toy izay vondron’olom-bitsy manapa-kevitra manokana momba ny zava-drehetra, ilay fitaovana kosa dia mamela mpandrotsaka maro hiady hevitra sy hifidy, ka ahitana taratra ny tena fampiasana ilay teny ilay angondrakitra. Aorian’ny ambaratongam-pandinihana maromaro, ny fampahalalana nankatoavina dia lasa ampahan’ny tobin'angondrakitra CLDR izay ampiasain’ny telefaonina sy tranonkala ary app an-tapitrisany eran-tany.
MokBlok-1	MokBlok helps people check whether their translations make sense when used in real apps. Language data often looks correct in a list but causes problems when displayed in calendars, menus, or interfaces.	MokBlok dia manampy ny olona hanamarina raha misy dikany na tsia ny dikantenin’izy ireo rehefa ampiasaina anatin’ireo app tena izy. Matetika ny angondraki-teny dia toa marina ao anatin’ny lisitra iray saingy miteraka olana rehefa aseho anatin’ireo kalandrie, menio na interifasy.
MokBlok-2	MokBlok takes translation data and automatically places it into realistic app screens, such as calendars or health apps. Contributors can see exactly how their language appears and quickly spot mistakes or awkward phrasing.	MokBlok dia maka angondraki-dikanteny sy mametraka izany amin’ny fomba mandeha ho azy ao anatina efijerin’app toa ara-javamisy, toy ireo tetiandro na ireo appm-pahasalamana. Ireo mpandrotsaka dia afaka mahita marina ny fomba isehoan’ny tenin’izy ireo sy mahatsikaritra haingana ireo diso na ireo firafitra fehezanteny mikaviavia.
MokBlok-3	MokBlok also provides examples of how other languages are used in digital interfaces. This is especially helpful for designers working with languages that are rarely supported and lack design references.	MokBlok ihany koa dia manome ohatra hoe ahoana ny fomba ampiasana ireo tenim-pirenena hafa anatin’ireo interifasy nomerika. Izany dia manampy manokana ho an’ireo mpanefibika miasa amin’ireo tenim-pirenena izay raisina an-tanana mahalana sy tsy ampy fanahaka enti-mampahatsiahy ara-tefibika.
MokBlok-4	MokBlok makes it easier to review language data visually, instead of relying only on tables or text lists.	MokBlok dia manamora ny fandinihana angondraki-teny ara-pijery, fa tsy miankina amin’ireo tabilao na lisi-dahatsoratra fotsiny.
Practitioners Program Call-1	SILICON Practitioners Program – Call for Proposals	Fandaharanasan'ny Mpikatroka SILICON - Antso ho an'ny Tolokevitra
Practitioners Program Call-2	The SILICON Practitioners Program supports practitioners working to expand the digital presence of underrepresented languages. This program provides small grants to individuals with concrete, impact-driven projects that advance language inclusion across digital systems. Practitioners are supported by SILICON, a Stanford-based initiative focused on building durable, community-centered language infrastructure.	Ny Fandaharanasan'ny Mpikatroka SILICON dia mandray an-tanana ireo mpikatroka miasa amin’ny fanitarana ny fisiana ara-nomerikan’ireo teny latsa-danja ara-panehoana. Ity fandaharanasa ity dia manome vatsy kely ireo olon-tsotra manana tetikasa azo tsapain-tanana sy taritim-piantraika izay mampandroso ny fampiatian-teny eran’ireo rafitra nomerika. Ireo mpikatroka dia tohanan’ny SILICON, finiavana iray manana foibe ao Stanford izay mifantoka amin’ny fanorenana fotodrafitrasan-teny mifototra amin’ny fiombonambe.
Practitioners Program Call-3	The program is designed for people who are already doing the work or are ready to begin. Whether you are launching a new project, unblocking stalled progress, or bringing an existing effort to completion, the Practitioners Program offers funding, visibility, and institutional support to help move your work forward.	Ilay fandaharanasa dia natao ho an’ny olona efa manao ny asa na vonona hanomboka. Na manomboka tetikasa iray vaovao na tsia ianao, manala sakana amin’ny fandrosoana mikatso na mitondra ny ezaka iray efa misy ho amin’ny fahavitany, ny Fandaharanasan’ny Mpikatroka dia manolotra famatsiam-bola sy fahitana ary tohana avy amina sampandraharaha hanampiana amin’ny fampandrosoana ny asanao.
Practitioners Program Call-4	SILICON invites applications from a wide range of practitioners, including keyboard and app designers, linguistics, type designers, language ethnographers, OCR and machine learning specialists, large language model researchers, and others working at the intersection of language, design, and technology. Projects may focus on one or more living or historic Digitally Disadvantaged Languages and should demonstrate clear goals, measurable progress, and real-world applicability.	SILICON dia manasa fangatahana avy amin’ny karazana mpikatroka maro samihafa, anisan’izany ireo mpanefibikan’ny marobokotra sy app, mpahaiteny, mpanefy bikan-tsoratra, mpahay tenim-poko, mpahaimanokana fianarana-masinina sy Famantarana Masitsoratra Optika (OCR), mpikaroka momba ny modelin-teny lehibe (LLM), sy ny hafa miasa eo amin’ny teboka fihaonan’ny teny sy tefibika ary teknolojia. Ireo tetikasa dia mety ho mifantoka amin’ny Teny Mahantra Ara-nomerika velona na ara-tantara iray na maromaro ary tokony hampiseho tanjona mazava sy fandrosoana azo refesina ary fahafaha-mampihatra amin’ny tontolo tena izy.
Practitioners Program Call-1	Visit this website to learn more and to apply.	Tsidiho ity tranonkala ity hamantarana bebe kokoa sy hangatahana handray anjara.
KBI-1	Did you know that English has over 1,000,000 fonts? (It's not just Helvetica!) Do you want to design a font for your language? The Donald Knuth & Charles Bigelow Type Design Incubator (KBI), run by SILICON at Stanford University, supports designers working with underrepresented and endangered writing systems. 	Fantatrao ve manana bikan-tsoratra mihoatra ny 1.000.000 ny teny Anglisy? (Tsy Helvetica fotsiny!) Te hanefy bikan-tsoratra iray ho an’ny tenim-pirenenao ve ianao? Ny Donald Knuth & Charles Bigelow Type Design Incubator (KBI), karakarain’ny SILICON ao amin’ny Oniversite Stanford, dia mandray an-tanana ireo mpanefibika miasa amin’ireo rafi-panoratana latsa-danja ara-panehoana sy atahorana ho lany tamingana.
KBI-2	"KBI is an entirely free program, where participants study with world-leading experts to start developing a font for their language. Participants receive expert instruction, structured workshops, and access to professional design software. The program is created for designers who may not have access to formal type design education or established industry networks. 
Applicants must be 18 years of age, or older, and all countries are welcome to apply. "	"KBI dia fandaharanasa maimaimpoana manontolo, ka ireo mpandray anjara dia miara-midinika amin’ireo tapipahaizana sangany eran’izao tontolo izao mba hanombohana ny famolavolana bikan-tsoratra iray ho an’ny tenim-pirenen’izy ireo. Mahazo torolalan’ny tapipahaizana sy atrikasa ara-drafitra ary fisitrahana rindrambaikon-tefibika matihanina ireo mpandray anjara. Foronina ho an’ireo mpanefibika izay mety ho tsy manana fisitrahana fanabeazana momba ny tefibikan-tsoratra ara-pomba na tambajotran-tsehatrasa voapetraka ilay fandaharanasa. 
Tsy maintsy 18 taona, na mihoatra ireo mpangataka, ary afaka mangataka handray anjara daholo ny firenena rehetra."
KBI-3	Visit this website to learn more and to apply. 	Tsidiho ity tranonkala ity hamantarana bebe kokoa sy hangatahana handray anjara.
LexRay-1	LexRay is a tool designed by SILICON (Stanford University) to make it easier to contribute language data to the Common Locale Data Repository (CLDR), the open database maintained by the Not-For-Profit global organization, Unicode. 	LexRay dia fitaovana iray novolavolain’ny SILICON (Oniversite Stanford) hanamorana ny fandrotsahana angondraki-teny ao amin’ny Common Locale Data Repository (CLDR), ilay tobin’angondrakitra misokatra kojakojain’ny fikambanana iraisam-pirenena Tsy Itadiavam-Bola, Unicode.
LexRay-2	When a phone in the United States shows a date like “November 12,” this is all thanks to CLDR data, which is the only way that computers and phones know how that date should appear in different languages and regions. In Spanish, for example, the same date becomes “12 de noviembre.” Different word order, different structure, same meaning. CLDR encodes these patterns so operating systems, apps, and websites can localize content correctly worldwide.	Rehefa mampiseho daty iray toy ny “12 Novambra” ny telefaonina iray ao Etazonia, izany rehetra izany dia noho ny angondrakitra CLDR, izay fomba tokana ahafantaran’ireo solosaina sy telefaonina fa tokony hiseho amin’ny teny sy faritra maro samihafa io daty io. Amin’ny teny Espaniola, io daty io ihany dia lasa hoe “12 de noviembre”. Filaharam-boanteny samy hafa, firafitra samy hafa, dikany samy hafa. Manao soramiafina ireo verimberintoetra ireo ny CLDR , amin’izay ireo rafitra mpanodina sy ireo app ary ireo tranonkala afaka mandika votoaty am-pahamarinana amin’ny teny eo an-toerana eran’izao tontolo izao.
LexRay-3	Out of roughly 7,000 human languages, the vast majority are not included in the CLDR database. Adding a language to the CLDR is therefore not just a technical step—it is a foundational act of empowering language communities to participate in the digital age.	Amin’ireo tenin’olombelona sahabo ho 7.000, ny ankamaroany dia tsy ao anatin’ny tobin’angondrakitra CLDR. Ka tsy dingana ara-tekinika fotsiny, araka izany, ny fanampiana ny teny iray ao amin’ny CLDR, fa fihetsika fototra hampahefana ireo fiombonambe ara-teny handray anjara amin’ny vanim-potoana nomerika.
LexRay-4	But working with the CLDR can be difficult, however. Beyond speaking your mother tongue, you must also understand CLDR “patterns” (such as "d 'de' MMMM" which is the pattern for "12 de noviembre" mentioned above). This technical requirement is often a major barrier.	Saingy mety ho sarotra ny miara-miasa amin’ny CLDR, na izany aza. Ankoatra ny fitenenana ny tenin-dreninao, dia tsy maintsy mahazo ireo “verimberintoetra” CLDR  (toy ny "d 'de' MMMM" izay verimberintoetra ho an’ny "12 de noviembre" voatonona etsy ambony) ihany koa ianao. Ity fitakiana ara-tekinika ity matetika no sakana lehibe.
LexRay-5	LexRay removes this obstacle. Instead of having to learn CLDR patterns, LexRay lets you work entirely in your language. You simply write in regular dates—such as “12 de noviembre”—and LexRay generates the correct CLDR pattern automatically.	LexRay no manala io sakana io. Toy izay mila mianatra verimberintoetra CLDR, LexRay dia ahafahanao miasa manontolo amin’ny amin’ny tenim-pirenenao. Manoratra daty mahazatra ao fotsiny ianao, ohatra “12 de noviembre”, ary mamokatra ilay verimberintoetra CDLR marina ny LexRay.
Tom Bio	Tom Mullaney is Director of SILICON. He is Professor of Chinese History at Stanford University and Director of Stanford's Science, Technology and Society Program. He is a Guggenheim Fellow and the recipient of Stanford’s highest award for excellence in teaching, the Gores Award. His books include How We Disappear: A Personal History of Information (W.W. Norton, Forthcoming 2026), The Chinese Computer: A Global History of the Information Age (MIT Press 2024), Where Research Begins (University of Chicago Press, 2022, with Christopher Rea), The Chinese Typewriter: A History (MIT Press 2017), and Coming to Terms with the Nation: Ethnic Classification in Modern China (UC Press, 2010), among other works. His writings have appeared in Fast Company, MIT Technology Review, Quartz, the South China Morning Post, TechCrunch, the Journal of Asian Studies, Technology & Culture, Foreign Affairs, and Foreign Policy. His work has been featured in RadioLab, The Atlantic, the BBC, and in invited lectures at OpenAI, IBM, Google, Microsoft, Adobe, and more. He earned his BA and MA from the Johns Hopkins University, and his PhD from Columbia University.	I Tom Mullaney dia Talen’ny SILICON. Mpampianatra Tantara Sinoa ao amin’ny Oniversite Stanford sy Talen’ny Fandaharanasa Siansa sy Teknolojia ary Fiarahamonin’ny Stanford izy. Izy dia Guggenheim Fellow iray ary mpisitraka vatsin’ny Stanford ambony indrindra noho ny fahamboniana amin’ny fampianarana, ny Gores Award. Ireo bokiny dia ahitana ny How We Disappear: A Personal History of Information (W.W. Norton, Forthcoming 2026), The Chinese Computer: A Global History of the Information Age (MIT Press 2024), Where Research Begins (University of Chicago Press, 2022, with Christopher Rea), The Chinese Typewriter: A History (MIT Press 2017) ary ny Coming to Terms with the Nation: Ethnic Classification in Modern China (UC Press, 2010), toa ampahany amin’ireo sanganasa hafa. Ireo asa sorany dia niseho tao amin’ny Fast Company, MIT Technology Review, Quartz, the South China Morning Post, TechCrunch, the Journal of Asian Studies, Technology & Culture, Foreign Affairs ary Foreign Policy. Ny sanganasany dia notsongaina tao amin’ny RadioLab, The Atlantic, ny BBC ary tanatin’ireo lesona nasaina ao amin’ny OpenAI, IBM, Google, Microsoft, Adobe sy maro hafa koa. Nahazo ireo diplaomany Licence sy Maîtrise tao amin’ny Johns Hopkins University, ary ny PhDny tao amin’ny Columbia University izy.
Audrey Bio	Audrey Gao is the Project Coordinator for SILICON. She holds a B.A. from Emory University in philosophy and political science. Prior to joining Stanford, Audrey managed a team of undergraduate researchers focused on West African economic development and gender equality in Benin. She has also contributed to research projects investigating propaganda in Indian national elections and the role of race and ethnicity in congressional immigration voting records. During her time at the Georgia Innocence Project, Audrey worked with legislatures to advance wrongful conviction compensation legislation and evidence storage reform. A native speaker of Mandarin Chinese, Audrey studied German while studying abroad in Wiesbaden.	I Audrey Gao dia Mpandrindra Tetikasa ho an’ny SILICON. Manana diplaoma Licence avy amin’ny Emory University momba ny filozofia sy siansa politika izy. Talohan’ny nidirany tao amin’ny Stanford, i Audrey dia nitantana ekipana mpikaroka ambaratonga ambony voalohany “undergraduate” izay nifantoka tamin’ny fampandrosoana ny toekaren’i Afrika Andrefana sy ny miralenta ao Benina. Nandray anjara tamin’ireo tetikasam-pikarohana nanadihady ny fampielezan-kevitra nandritra ny fifidianana nasionaly indianina sy ny anjara asan’ny volonkoditra sy firazanana tanatin’ireo rejisi-pifidianan’ny Kongresy momba ny fifidramonina ihany koa izy. Nandritra ny fotoany tao amin’ny tetikasa Georgia Innocence Project, dia niara-niasa tamin’ireo mpampanoa lalàna i Audrey hampivoarana ny didy aman-dalàna momba ny fanomezana onitry ny fanagadrana tsy ara-drariny. Teratany mpiteny Sinoa Mandarin, i Audrey dia nianatra teny Alemàna nandritra ny fianarany tany ampita tany Wiesbaden.
Elaine Bio	Elaine Treharne is Associate Director of SILICON. She is the Senior Associate Vice Provost for Undergraduate Education and the Roberta Bowman Denning Professor of the Humanities, Professor of English, Courtesy Professor of German Studies and of Comparative Literature, and the Robert K. Packard Fellow in Undergraduate Education at Stanford University. She is a medievalist, focusing on Manuscript and Archival Studies, Early British Literary Studies, and the long History of Text Technologies. She has published thirty-eight books and some eighty articles on these areas. 	I Elaine Treharne dia Tale Lefitry ny SILICON. Izy no Senior Associate Vice Provost ho an’ny Fanabeazana Ambaratonga Undergraduate ary Mpampianatra Haisoratra sy Siansan’ny Maha-olona Roberta Bowman Denning, Mpampianatra Teny Anglisy, Mpampianatra Courtesy amin’ny Fianarana Alemàna sy ny Haisoratra Ampitahaina ary Robert K. Packard Fellow tao amin’ny Fanabeazana Undergraduate tao amin’ny Oniversite Stanford. Izy dia medievalista, mifantoka amin’ny Fandinihana Manuscript sy Arisiva, Fandinihana Haisoratra Britanika Voalohandohany, ary ny Tantara lavan’ny Teknolojian’ny Lahatsoratra. Namoaka boky telopolo valo amby sy lahatsoratra valopolo eo ho eo momba ireo sehatra ireo izy.
CLDR Ticket-1	How to Report a Problem or Request a Change in Unicode CLDR	Ahoana no fitaterana olana iray na fangatahana fanovana ao amin'ny CLDR
CLDR Ticket-2	If you discover a problem with how Unicode CLDR represents your language—such as incorrect names, formats, translations, or missing data—you can report it by filing a “ticket.”	Raha mahita olana iray momba ny fomba anehoan’ny Unicode CLDR ny tenim-pirenenao ianao—toy ireo anarana, ireo fiendrika, ireo dikanteny diso na angondrakitra tsy ampy—azonao atao ny mitatitra izany amin’ny alalan’ny fandrosoana “tapakila” iray.
CLDR Ticket-3	What does “ticket” mean?	Inona no dikan'ny "tapakila"?
CLDR Ticket-4	A ticket is simply a formal request or report.	Ny tapakila dia tsy inona akory fa fangatahana na tatitra ara-pomba iray?
CLDR Ticket-5	"It is a way to:

- report a problem or error

- ask a question

- request a correction or improvement"	"Izy io dia fomba iray:

- hitaterana olana na fahadisoana iray

- hametrahana fanontaniana

- hangatahana fanitsiana na fanatsarana"
CLDR Ticket-6	Think of a ticket as submitting a written issue that the Unicode CLDR team can track, discuss, and respond to.	Mieritrereta ny tapakila iray ho toy ny fandrosoana raharaha an-tsoratra iray izay azon'ny ekipa Unicode CLDR arahin-dia sy iadian-kevitra ary valiana.
CLDR Ticket-7	"Where to File a Ticket

All CLDR tickets are filed on Unicode’s issue-tracking website (called Jira):

https://unicode-org.atlassian.net/projects/CLDR/"	"Aiza no handrosoana tapakila

Ny tapakila CLDR rehetra dia azo aroso ao amin’ny tranonkala fanarahan-dia raharahan’ny Unicode (antsoina hoe Jira):

https://unicode-org.atlassian.net/projects/CLDR/"
CLDR Ticket-8	"How to File a Ticket (Step by Step)

Log in to Jira

You must have a Jira account to file a ticket.

If you do not already have one, you can request a Jira account from the site.

Click “Create”

Once logged in, click the red “Create” button at the top of the page.

This opens a form for submitting your ticket.

Describe the problem or request

Clearly explain what is wrong or what needs to be changed in CLDR.

Include examples if possible (for example, how something should appear in your language).

Choose a component"	"Ahoana no fandrosoana tapakila (dingana tsirairay)

Midira ao amin’ny Jira

Tsy maintsy manana kaonty Jira iray ianao vao afaka mandroso tapakila.

Raha mbola tsy manana ianao dia afaka mangataka kaonty Jira iray amin’ilay tranonkala.

Tsindrio “Mamorona”

Raha vao tafiditra, tsindrio ilay bokotra “Mamorona” eo amin’ny fanambonin’ny pejy.

Manokatra fisy iray handrosoana ny tapakilanao io.

Soritsorito ilay olana na fangatahana

Hazavao tsara hoe inona no tsy mety na inona no mila ovaina ao amin’ny CLDR.

Asio ohatra raha azo atao (ohatra, ahoana no tokony ho fisehon’ny zavatra iray amin’ny teninao).

Misafidiana singa iray"
CLDR Ticket-9	"You will be asked to assign a component (the part of CLDR your issue relates to).

If you are unsure which one to choose, simply select “unknown.” This is acceptable.

Submit the ticket

After filling out the form, submit it."	"Hasaina manendry singa iray (ilay ampahan’ny CLDR mifandraika amin’ny raharahanao) ianao.

Raha tsy azonao antoka hoe iza no hofidiana, dia fanteno fotsiny “tsy fantatra”. Azo ekena io.

Arosoy ilay tapakila

Aorian’ny famenoana ilay fisy, dia arosoy io."
CLDR Ticket-10	Your ticket will now be visible to the CLDR team and other contributors.	Hiharihary amin’ny ekipa CLDR sy ireo mpandrotsaka hafa amin’izay ilay tapakilanao.
CLDR Ticket-11	Once submitted, your ticket becomes part of the official CLDR review process, where it can be discussed, clarified, and—if appropriate—used to improve how your language is handled in Unicode CLDR.	Raha vao aroso dia lasa ampahan’ny fizotram-pandinihana CLDR ofisialy ilay tapakila, ao izy no ho azo iadian-kevitra, hazavaina ary, raha mety, ampiasaina hanatsarana ny fomba ikirakirana ny teninao ao amin’ny Unicode CLDR.
