id	ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE
uli-594_36	My birthday is in 5 weeks	Mon anniversaire est dans 5 semaines	My birthday is in 5 weeks
uli-594_37	My birthday is in 1 month	Mon anniversaire est dans un mois.	My birthday is in 1 month
uli-594_38	My birthday is in 2 months	Mon anniversaire est dans deux mois.	My birthday is in 2 months
uli-594_39	My birthday is in 5 months	Mon anniversaire est dans 5 mois	My birthday is in 5 months
uli-594_40	I finish school in 1 year	Je termine mes études dans un an.	I finish school in 1 year
uli-594_41	I finish school in 2 years	Je termine mes études dans 2 ans	I finish school in 2 years
uli-594_42	I finish school in 5 years	Je termine mes études dans 5 ans.	I finish school in 5 years
uli-594_43	The battery is 100% full.	La batterie est chargée à 100%.	The battery is 100% full.
uli-594_44	The battery is 53% full.	La batterie est chargée à 53%.	The battery is 53% full.
uli-594_45	The batter is 10% full.	La pâte est remplie à 10%.	The batter is 10% full.
uli-594_46	100%	100%	100%
uli-594_47	53%	53%	53%
uli-594_48	10%	10%	10%
uli-594_49	5 divided by 2 equals 2.5	5 divisé par 2 égale 2,5	5 divided by 2 equals 2.5
uli-594_50	7 divided by 2 equals 3.5	7 divisé par 2 égale 3,5	7 divided by 2 equals 3.5
uli-594_51	15 divided by 2 equals 7.5	15 divisé par 2 égale 7,5	15 divided by 2 equals 7.5
uli-594_52	2.5	2.5	2.5
uli-594_53	3.5	3.5	3.5
uli-594_54	7.5	7,5	7.5
uli-594_55	2.5 + 2.5 = 5	2,5 + 2,5 = 5	2.5 + 2.5 = 5
uli-594_56	3.5 + 3.5 = 7	3,5 + 3,5 = 7	3.5 + 3.5 = 7
uli-594_57	7.5 + 7.5 = 15	7,5 + 7,5 = 15	7.5 + 7.5 = 15
uli-594_58	5 - 2.5 = 2.5	5 - 2,5 = 2,5	5 - 2.5 = 2.5
uli-594_59	8 - 4 = 4	8 - 4 = 4	8 - 4 = 4
uli-594_60	15 - 5 = 10	15 - 5 = 10	15 - 5 = 10
uli-594_61	5 x 3 = 15	5 x 3 = 15	5 x 3 = 15
uli-594_62	4 x 4 = 16	4 x 4 = 16	4 x 4 = 16
uli-594_63	2 x 3 = 6	2 x 3 = 6	2 x 3 = 6
uli-594_64	9 ÷ 3 = 3	9 ÷ 3 = 3	9 ÷ 3 = 3
uli-594_65	10 ÷ 2 = 5	10 ÷ 2 = 5	10 ÷ 2 = 5
uli-594_66	100 ÷ 2 = 50	100 ÷ 2 = 50	100 ÷ 2 = 50
uli-594_67	English	anglais	English
uli-594_68	Chinese	chinois	Chinese
uli-594_69	French	français	French
uli-594_70	Spanish	espagnol	Spanish
uli-594_71	Portuguese	portugais	Portuguese
uli-594_72	Arabic	arabe	Arabic
uli-594_73	German	allemand	German
uli-594_74	Russian	russe	Russian
uli-594_75	Dutch	néerlandais	Dutch
uli-594_76	1 book	1 livre	1 book
uli-594_77	2 books	2 livres	2 books
uli-594_78	5 books	5 livres	5 books
uli-594_79	10 books	10 livres	10 books
uli-594_80	book	livre	book
uli-594_81	1 song	1 chanson	1 song
uli-594_82	2 songs	2 chansons	2 songs
uli-594_83	5 songs	5 chansons	5 songs
uli-594_84	10 songs	10 chansons	10 songs
uli-594_85	song	chanson	song
uli-594_86	When I walked into the room, she said "Hello"	Quand je suis entrée dans la pièce, elle a dit « Bonjour ».	When I walked into the room, she said "Hello"
uli-594_87	When I walked into the room, he said "Would you like some coffee?"	Quand je suis entré dans la pièce, il m'a dit : « Voulez-vous un café ? »	When I walked into the room, he said "Would you like some coffee?"
uli-594_88	When I walked into the room, she said "Please close the door behind you"	Quand je suis entrée dans la pièce, elle a dit : « Veuillez fermer la porte derrière vous. »	When I walked into the room, she said "Please close the door behind you"
uli-594_89	Algeria	Algérie	Algeria
uli-594_90	Angola	Angola	Angola
uli-594_91	Benin	Bénin	Benin
uli-594_92	Botswana	Botswana	Botswana
uli-594_93	Burkina Faso	Burkina Faso	Burkina Faso
uli-594_94	Burundi	Burundi	Burundi
uli-594_95	Cabo Verde	Cap-Vert	Cabo Verde
uli-594_96	Cameroon	Cameroun	Cameroon
uli-594_97	Central African Republic	République centrafricaine	Central African Republic
uli-594_98	Chad	Chad	Chad
uli-594_99	Comoros	Comores	Comoros
uli-594_100	Congo	Congo	Congo
uli-594_101	Democratic Republic of the Congo	République démocratique du Congo	Democratic Republic of the Congo
uli-594_102	Djibouti	Djibouti	Djibouti
uli-594_103	Egypt	Egypte	Egypt
uli-594_104	Equatorial Guinea	Guinée équatoriale	Equatorial Guinea
uli-594_105	Eritrea	Érythrée	Eritrea
uli-594_106	Eswatini	Eswatini	Eswatini
uli-594_107	Ethiopia	Ethiopie	Ethiopia
uli-594_108	Gabon	Gabon	Gabon
uli-594_109	Gambia	Gambie	Gambia
uli-594_110	Ghana	Ghana	Ghana
uli-594_111	Guinea	Guinée	Guinea
uli-594_112	Guinea-Bissau	Guinée-Bissau	Guinea-Bissau
uli-594_113	Ivory Coast	Côte d'Ivoire	Ivory Coast
uli-594_114	Kenya	Kenya	Kenya
uli-594_115	Lesotho	Lesotho	Lesotho
uli-594_116	Liberia	Libéria	Liberia
uli-594_117	Libya	Libye	Libya
uli-594_118	Madagascar	Madagascar	Madagascar
uli-594_119	Malawi	Malawi	Malawi
uli-594_120	Mali	Mali	Mali
uli-594_121	Mauritania	Mauritanie	Mauritania
uli-594_122	Mauritius	Île Maurice	Mauritius
uli-594_123	Morocco	Maroc	Morocco
uli-594_124	Mozambique	Mozambique	Mozambique
uli-594_125	Namibia	Namibie	Namibia
uli-594_126	Niger	Niger	Niger
uli-594_127	Nigeria	Nigeria	Nigeria
uli-594_128	Rwanda	Rwanda	Rwanda
uli-594_129	Sao Tome and Principe	Sao Tomé-et-Principe	Sao Tome and Principe
uli-594_130	Senegal	Sénégal	Senegal
uli-594_131	Seychelles	Seychelles	Seychelles
uli-594_132	Sierra Leone	Sierra Leone	Sierra Leone
uli-594_133	Somalia	Somalie	Somalia
uli-594_134	South Africa	Afrique du Sud	South Africa
uli-594_135	South Sudan	Soudan du Sud	South Sudan
uli-594_136	Sudan	Soudan	Sudan
uli-594_137	Tanzania	Tanzanie	Tanzania
uli-594_138	Togo	Aller	Togo
uli-594_139	Tunisia	Tunisie	Tunisia
uli-594_140	Uganda	Ouganda	Uganda
uli-594_141	Zambia	Zambie	Zambia
uli-594_142	Zimbabwe	Zimbabwe	Zimbabwe
uli-594_143	1	1	1
uli-594_144	2	2	2
uli-594_145	3	3	3
uli-594_146	4	4	4
uli-594_147	5	5	5
uli-594_148	6	6	6
uli-594_149	7	7	7
uli-594_150	8	8	8
uli-594_151	9	9	9
uli-594_152	10	10	10
uli-594_153	11	11	11
uli-594_154	12	12	12
uli-594_155	13	13	13
uli-594_156	14	14	14
uli-594_157	15	15	15
uli-594_158	20	20	20
uli-594_159	30	30	30
uli-594_160	40	40	40
uli-594_161	50	50	50
uli-594_162	60	60	60
uli-594_163	70	70	70
uli-594_164	80	80	80
uli-594_165	90	90	90
uli-594_166	100	100	100
uli-594_167	200	200	200
uli-594_168	1000	1000	1000
uli-594_169	5000	5000	5000
uli-594_170	10000	10000	10000
uli-594_171	He left 1 hour ago	Il est parti il ​​y a une heure	He left 1 hour ago
uli-594_172	He left 2 hours ago	Il est parti il ​​y a 2 heures	He left 2 hours ago
uli-594_173	He left 5 hours ago	Il est parti il ​​y a 5 heures	He left 5 hours ago
uli-594_174	He left 1 minute ago	Il est parti il ​​y a une minute	He left 1 minute ago
uli-594_175	He left 2 minutes ago	Il est parti il ​​y a 2 minutes	He left 2 minutes ago
uli-594_176	He left 5 minutes ago	Il est parti il ​​y a 5 minutes	He left 5 minutes ago
uli-594_177	He left 1 second ago	Il est parti il ​​y a une seconde	He left 1 second ago
uli-594_178	He left 2 seconds ago	Il est parti il ​​y a 2 secondes	He left 2 seconds ago
uli-594_179	He left 5 seconds ago	Il est parti il ​​y a 5 secondes	He left 5 seconds ago
uli-594_180	He left 1 day ago	Il est parti il ​​y a un jour	He left 1 day ago
uli-594_181	He left 2 days ago	Il est parti il ​​y a 2 jours	He left 2 days ago
uli-594_182	He left 5 days ago	Il est parti il ​​y a 5 jours	He left 5 days ago
uli-594_183	He left 1 week ago	Il est parti il ​​y a une semaine	He left 1 week ago
uli-594_184	He left 2 weeks ago	Il est parti il ​​y a 2 semaines	He left 2 weeks ago
uli-594_185	He left 5 weeks ago	Il est parti il ​​y a 5 semaines	He left 5 weeks ago
uli-594_186	He finished school 1 month ago	Il a terminé ses études il y a un mois	He finished school 1 month ago
uli-594_187	He finished school 2 months ago	Il a terminé ses études il y a 2 mois	He finished school 2 months ago
uli-594_188	He finished school 5 months ago	Il a terminé ses études il y a 5 mois	He finished school 5 months ago
uli-594_189	He finished school 1 year ago	Il a terminé ses études il y a un an.	He finished school 1 year ago
uli-594_190	He finished school 2 years ago	Il a terminé ses études il y a 2 ans	He finished school 2 years ago
uli-594_191	He finished school 5 years ago	Il a terminé ses études il y a 5 ans	He finished school 5 years ago
uli-594_192	Does this picture look accurate?	Cette image vous semble-t-elle fidèle ?	Does this picture look accurate?
uli-594_193	If this picture doesn't look accurate, why? Please explain.	Si cette image ne vous semble pas exacte, pourquoi ? Veuillez expliquer.	If this picture doesn't look accurate, why? Please explain.
uli-594_194	What would be a more accurate way?	Quelle serait une méthode plus précise ?	What would be a more accurate way?
uli-594_195	Correct	Correct	Correct
uli-594_196	Incorrect	Incorrect	Incorrect
uli-594_197	Computer	Ordinateur	Computer
uli-594_198	Telephone	Téléphone	Telephone
uli-594_199	Smart Phone	Smartphone	Smart Phone
uli-594_200	App	Application	App
uli-594_201	Website	Site web	Website
uli-594_202	Internet	Internet	Internet
uli-594_203	email address	adresse email	email address
uli-594_204	email	e-mail	email
uli-594_205	Bank	Banque	Bank
uli-594_206	Movie	Film	Movie
uli-594_207	Game	Jeu	Game
uli-594_208	Sports	Sportif	Sports
uli-594_209	Education	Éducation	Education
uli-594_210	Doctor	Médecin	Doctor
uli-594_211	School	École	School
uli-594_212	Weather	Météo	Weather
uli-594_213	Calendar	Calendrier	Calendar
uli-594_214	Clock	Horloge	Clock
uli-594_215	Temperature	Température	Temperature
uli-594_216	Hotel	Hôtel	Hotel
uli-594_217	Airplane	Avion	Airplane
uli-594_218	Train	Former	Train
uli-594_219	Restaurant	Restaurant	Restaurant
uli-594_220	Hospital	Hôpital	Hospital
uli-594_221	Car	Voiture	Car
uli-594_222	Motocycle	Moto	Motocycle
uli-594_223	Bus	Bus	Bus
uli-594_224	Taxi	Taxi	Taxi
uli-594_225	Post Office	Bureau de poste	Post Office
