LARGE NUMBERS				
In English, one way to write out the four-digit number 1000 is "1 thousand." A way to write 1500 is "1.5 thousand". Please provide translations of the following six abbreviations.				
7,200	7.2K	7 हजार 200		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="other"]
In English, the SHORTEST abbreviation of the five-digit number 10000 is 10K. The SHORTEST abbreviation of 10500 is 10.5K. Please provide the SHORTEST abbreviation in your language of the following numbers				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
10,000	10K	10 हजार		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="one"]
43,000	43K	43 हजार		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="one"]
10,500	10.5K	10 हजार 500		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="other"]
43,700	43.7K	43 हजार 700		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="other"]
In English, the SHORTEST abbreviation of the six-digit number 134000 is 134K. The SHORTEST abbreviation of 134700 is 134.7K. Please provide the SHORTEST abbreviation in your language of the following numbers				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
134,000	134K	1 लाख 34 हजार		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000"][@count="one"]
278,000	278K	2 लाख 78 हजार		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000"][@count="one"]
134,700	134.7K	1 लाख 34 हजार 700		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000"][@count="other"]
278,100	278.1K	2 लाख 78 हजार 100		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000"][@count="other"]
In English, the abbreviation of the seven-digit number 1000000 is 1M. The abbreviation of 1100000 is 1.1M. Please provide the SHORTEST abbreviation in your language of the following numbers				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
1,000,000	1M	10 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000"][@count="one"]
5,000,000	5M	5 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000"][@count="one"]
1,100,000	1.1M	11 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000"][@count="other"]
5,700,000	5.7M	57 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000"][@count="other"]
In English, the SHORTEST abbreviation of the eight-digit number 11000000 is 11M. The SHORTEST abbreviation of 11500000 is 11.5M. Please provide the SHORTEST abbreviation in your language of the following numbers				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
11,000,000	11M	1 करोड़ 10 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000"][@count="one"]
57,000,000	57M	5 करोड़ 70 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000"][@count="one"]
11,500,000	11.5M	1 करोड़ 15 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000"][@count="other"]
57,700,000	57.7M	5 करोड़ 77 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000"][@count="other"]
In English, the SHORTEST abbreviation of the nine-digit number 134000000 is 134M. The SHORTEST abbreviation of 134700000 is 134.7M. Please provide the SHORTEST abbreviation in your language of the following numbers				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
134,000,000	134M	13 करोड़ 40 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000"][@count="one"]
317,000,000	317M	31 करोड़ 70 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000"][@count="one"]
134,700,000	134.7M	13 करोड़ 47 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000"][@count="other"]
317,900,000	317.9M	31 करोड़ 79 लाख		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000"][@count="other"]
Now that you see the pattern, lease provide the SHORTEST abbreviation in your language of the following numbers.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
1,000,000,000	1B	1 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000"][@count="one"]
4,000,000,000	4B	4 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000"][@count="one"]
1,200,000,000	1.2B	1 अरब 20 करोड़		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000"][@count="other"]
4,700,000,000	4.7B	4 अरब 70 करोड़		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000"][@count="other"]
11,000,000,000	11B	11 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000"][@count="one"]
39,000,000,000	39B	39 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000"][@count="one"]
11,200,000,000	11.2B	11 अरब 20 करोड़		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000"][@count="other"]
39,900,000,000	39.9B	39 अरब 90 करोड़		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000"][@count="other"]
134,000,000,000	134B	1 खरब 34 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000"][@count="one"]
623,000,000,000	623B	6 खरब 23 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000"][@count="one"]
134,700,000,000	134.7B	1 खरब 34 अरब 70 करोड़		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000"][@count="other"]
623,500,000,000	623.5B	6 खरब 23 अरब 50 करोड़		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000"][@count="other"]
1,000,000,000,000	1T	10 खरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000000"][@count="one"]
4,000,000,000,000	4T	40 खरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000000"][@count="one"]
1,700,000,000,000	1.7T	1 खरब 700 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000000"][@count="other"]
4,200,000,000,000	4.2T	4 खरब 200 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000000000000"][@count="other"]
17,000,000,000,000	17T	17 खरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000000"][@count="one"]
42,000,000,000,000	42T	42 खरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000000"][@count="one"]
17,800,000,000,000	17.8T	17 खरब 800 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000000"][@count="other"]
42,300,000,000,000	42.3T	42 खरब 300 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000000000000"][@count="other"]
170,000,000,000,000	170T	170 खरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000000"][@count="one"]
420,000,000,000,000	420T	420 खरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000000"][@count="one"]
170,900,000,000,000	170.9T	170 खरब 900 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000000"][@count="other"]
420,500,000,000,000	420.5T	420 खरब 500 अरब		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="100000000000000"][@count="other"]
TIMEZONES and GEOGRAPHIC NAMES (Africa)				
Original (English)	Original (French)	Translation	NOTES BY TRANSLATOR (IF NECESSARY)	XPath (Ignore)
Central Africa Time	heure normale d’Afrique centrale	मध्य अफ्रीकी समय		//ldml/dates/timeZoneNames/metazone[@type="Africa_Central"]/long/standard
East Africa Time	heure normale d’Afrique de l’Est	पूर्वी अफ्रीकी समय		//ldml/dates/timeZoneNames/metazone[@type="Africa_Eastern"]/long/standard
South Africa Standard Time	heure normale d’Afrique méridionale	दक्षिण अफ्रीका के मानक समय		//ldml/dates/timeZoneNames/metazone[@type="Africa_Southern"]/long/standard
West Africa Summer Time	heure d’été d’Afrique de l’Ouest	पश्चिम अफ्रीकी ग्रीष्मकालीन समय		//ldml/dates/timeZoneNames/metazone[@type="Africa_Western"]/long/daylight
West Africa Time	heure d’Afrique de l’Ouest	पश्चिम अफ्रीकी समय		//ldml/dates/timeZoneNames/metazone[@type="Africa_Western"]/long/generic
West Africa Standard Time	heure normale d’Afrique de l’Ouest	पश्चिम अफ्रिका का मानक समय		//ldml/dates/timeZoneNames/metazone[@type="Africa_Western"]/long/standard
Abidjan	Abidjan	अबिदजान		//ldml/dates/timeZoneNames/zone[@type="Africa/Abidjan"]/exemplarCity
Accra	Accra	अक्करा		//ldml/dates/timeZoneNames/zone[@type="Africa/Accra"]/exemplarCity
Addis Ababa	Addis-Abeba	अदीस अबाबा		//ldml/dates/timeZoneNames/zone[@type="Africa/Addis_Ababa"]/exemplarCity
Algiers	Alger	अल्जीयर्स		//ldml/dates/timeZoneNames/zone[@type="Africa/Algiers"]/exemplarCity
Asmara	Asmara	अस्मारा		//ldml/dates/timeZoneNames/zone[@type="Africa/Asmera"]/exemplarCity
Bamako	Bamako	बमाको		//ldml/dates/timeZoneNames/zone[@type="Africa/Bamako"]/exemplarCity
Bangui	Bangui	बांगुई		//ldml/dates/timeZoneNames/zone[@type="Africa/Bangui"]/exemplarCity
Banjul	Banjul	बंजुल		//ldml/dates/timeZoneNames/zone[@type="Africa/Banjul"]/exemplarCity
Bissau	Bissau	बिसाउ		//ldml/dates/timeZoneNames/zone[@type="Africa/Bissau"]/exemplarCity
Blantyre	Blantyre	ब्लैंटायर		//ldml/dates/timeZoneNames/zone[@type="Africa/Blantyre"]/exemplarCity
Brazzaville	Brazzaville	ब्राजाविल		//ldml/dates/timeZoneNames/zone[@type="Africa/Brazzaville"]/exemplarCity
Bujumbura	Bujumbura	बुजुम्बुरा		//ldml/dates/timeZoneNames/zone[@type="Africa/Bujumbura"]/exemplarCity
Cairo	Le Caire	काहिरा		//ldml/dates/timeZoneNames/zone[@type="Africa/Cairo"]/exemplarCity
Casablanca	Casablanca	कासाब्लांका		//ldml/dates/timeZoneNames/zone[@type="Africa/Casablanca"]/exemplarCity
Conakry	Conakry	कोनाक्री		//ldml/dates/timeZoneNames/zone[@type="Africa/Conakry"]/exemplarCity
Dakar	Dakar	डाकर		//ldml/dates/timeZoneNames/zone[@type="Africa/Dakar"]/exemplarCity
Dar es Salaam	Dar es Salaam	दार एस सलाम		//ldml/dates/timeZoneNames/zone[@type="Africa/Dar_es_Salaam"]/exemplarCity
Djibouti	Djibouti	जिबूती		//ldml/dates/timeZoneNames/zone[@type="Africa/Djibouti"]/exemplarCity
Douala	Douala	डुआला		//ldml/dates/timeZoneNames/zone[@type="Africa/Douala"]/exemplarCity
El Aaiun	Laâyoune	एल आयून		//ldml/dates/timeZoneNames/zone[@type="Africa/El_Aaiun"]/exemplarCity
Freetown	Freetown	फ्रीटाउन		//ldml/dates/timeZoneNames/zone[@type="Africa/Freetown"]/exemplarCity
Gaborone	Gaborone	गाबोरोन		//ldml/dates/timeZoneNames/zone[@type="Africa/Gaborone"]/exemplarCity
Harare	Harare	हरारे		//ldml/dates/timeZoneNames/zone[@type="Africa/Harare"]/exemplarCity
Johannesburg	Johannesburg	जोहानसबर्ग		//ldml/dates/timeZoneNames/zone[@type="Africa/Johannesburg"]/exemplarCity
Juba	Juba	जुबा		//ldml/dates/timeZoneNames/zone[@type="Africa/Juba"]/exemplarCity
Kampala	Kampala	कंपाला		//ldml/dates/timeZoneNames/zone[@type="Africa/Kampala"]/exemplarCity
Khartoum	Khartoum	खार्तुम		//ldml/dates/timeZoneNames/zone[@type="Africa/Khartoum"]/exemplarCity
Kigali	Kigali	किगाली		//ldml/dates/timeZoneNames/zone[@type="Africa/Kigali"]/exemplarCity
Kinshasa	Kinshasa	किंशासा		//ldml/dates/timeZoneNames/zone[@type="Africa/Kinshasa"]/exemplarCity
Lagos	Lagos	लागोस		//ldml/dates/timeZoneNames/zone[@type="Africa/Lagos"]/exemplarCity
Libreville	Libreville	लिब्रेविल		//ldml/dates/timeZoneNames/zone[@type="Africa/Libreville"]/exemplarCity
Lome	Lomé	लोमे		//ldml/dates/timeZoneNames/zone[@type="Africa/Lome"]/exemplarCity
Luanda	Luanda	लुआंडा		//ldml/dates/timeZoneNames/zone[@type="Africa/Luanda"]/exemplarCity
Lubumbashi	Lubumbashi	लुबुम्बाशी		//ldml/dates/timeZoneNames/zone[@type="Africa/Lubumbashi"]/exemplarCity
Lusaka	Lusaka	लुसाका		//ldml/dates/timeZoneNames/zone[@type="Africa/Lusaka"]/exemplarCity
Malabo	Malabo	मलाबो		//ldml/dates/timeZoneNames/zone[@type="Africa/Malabo"]/exemplarCity
Maputo	Maputo	मापुटो		//ldml/dates/timeZoneNames/zone[@type="Africa/Maputo"]/exemplarCity
Maseru	Maseru	मसेरू		//ldml/dates/timeZoneNames/zone[@type="Africa/Maseru"]/exemplarCity
Mbabane	Mbabane	मबाबने		//ldml/dates/timeZoneNames/zone[@type="Africa/Mbabane"]/exemplarCity
Mogadishu	Mogadiscio	मोगादिशु		//ldml/dates/timeZoneNames/zone[@type="Africa/Mogadishu"]/exemplarCity
Monrovia	Monrovia	मोनरोविया		//ldml/dates/timeZoneNames/zone[@type="Africa/Monrovia"]/exemplarCity
Nairobi	Nairobi	नैरोबी		//ldml/dates/timeZoneNames/zone[@type="Africa/Nairobi"]/exemplarCity
Ndjamena	N’Djamena	नैजामेना		//ldml/dates/timeZoneNames/zone[@type="Africa/Ndjamena"]/exemplarCity
Niamey	Niamey	नियामे		//ldml/dates/timeZoneNames/zone[@type="Africa/Niamey"]/exemplarCity
Nouakchott	Nouakchott	नवाक्शूत		//ldml/dates/timeZoneNames/zone[@type="Africa/Nouakchott"]/exemplarCity
Ouagadougou	Ouagadougou	ऊगादोगो		//ldml/dates/timeZoneNames/zone[@type="Africa/Ouagadougou"]/exemplarCity
Porto-Novo	Porto-Novo	पोर्टो-नोवो		//ldml/dates/timeZoneNames/zone[@type="Africa/Porto-Novo"]/exemplarCity
São Tomé	São Tomé	सावो टोमे		//ldml/dates/timeZoneNames/zone[@type="Africa/Sao_Tome"]/exemplarCity
Tripoli	Tripoli (Libye)	ट्रिपोली		//ldml/dates/timeZoneNames/zone[@type="Africa/Tripoli"]/exemplarCity
Tunis	Tunis	ट्यूनिस		//ldml/dates/timeZoneNames/zone[@type="Africa/Tunis"]/exemplarCity
Windhoek	Windhoek	विंडहोक		//ldml/dates/timeZoneNames/zone[@type="Africa/Windhoek"]/exemplarCity
Ceuta	Ceuta	सेउटा		//ldml/dates/timeZoneNames/zone[@type="Africa/Ceuta"]/exemplarCity
time zone	fuseau horaire	समय क्षेत्र		//ldml/dates/fields/field[@type="zone"]/displayName
GEOGRAPHIC NAMES				
Original (English)	Original (French)	Translation	NOTES BY TRANSLATOR (IF NECESSARY)	XPath (Ignore)
Western Africa	Afrique occidentale	पश्चिमी अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="011"]
Eastern Africa	Afrique orientale	पूर्वी अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="014"]
Northern Africa	Afrique septentrionale	उत्तरी अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="015"]
Middle Africa	Afrique centrale	मध्य अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="017"]
Southern Africa	Afrique australe	दक्षिणी अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="018"]
Sub-Saharan Africa	Afrique subsaharienne	उप-सहारा अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="202"]
Central America	Amérique centrale	मध्य अमेरिका		//ldml/localeDisplayNames/territories/territory[@type="013"]
Northern America	Amérique septentrionale	उत्तरी अमेरिका		//ldml/localeDisplayNames/territories/territory[@type="021"]
Caribbean	Caraïbes	कैरिबियाई क्षेत्र		//ldml/localeDisplayNames/territories/territory[@type="029"]
North America	Amérique du Nord	उत्तरी अमेरिका		//ldml/localeDisplayNames/territories/territory[@type="003"]
Latin America	Amérique latine	लैटिन अमेरिका		//ldml/localeDisplayNames/territories/territory[@type="419"]
South America	Amérique du Sud	दक्षिण अमेरिका		//ldml/localeDisplayNames/territories/territory[@type="005"]
Central Asia	Asie centrale	मध्य एशिया		//ldml/localeDisplayNames/territories/territory[@type="143"]
Western Asia	Asie de l’Ouest	पश्चिमी एशिया		//ldml/localeDisplayNames/territories/territory[@type="145"]
Eastern Asia	Asie de l’Est	पूर्वी एशिया		//ldml/localeDisplayNames/territories/territory[@type="030"]
Southern Asia	Asie du Sud	दक्षिण एशिया		//ldml/localeDisplayNames/territories/territory[@type="034"]
Southeast Asia	Asie du Sud-Est	दक्षिण पूर्व एशिया		//ldml/localeDisplayNames/territories/territory[@type="035"]
Eastern Europe	Europe de l’Est	पूर्वी यूरोप		//ldml/localeDisplayNames/territories/territory[@type="151"]
Northern Europe	Europe du Nord	उत्तरी यूरोप		//ldml/localeDisplayNames/territories/territory[@type="154"]
Western Europe	Europe de l’Ouest	पश्चिमी यूरोप		//ldml/localeDisplayNames/territories/territory[@type="155"]
Southern Europe	Europe du Sud	दक्षिणी यूरोप		//ldml/localeDisplayNames/territories/territory[@type="039"]
Australasia	Australasie	ऑस्ट्रेलिया		//ldml/localeDisplayNames/territories/territory[@type="053"]
Melanesia	Mélanésie	मेलनेशिया		//ldml/localeDisplayNames/territories/territory[@type="054"]
Micronesian Region	région micronésienne	माइक्रोनेशियन क्षेत्र		//ldml/localeDisplayNames/territories/territory[@type="057"]
world	Monde	दुनिया		//ldml/localeDisplayNames/territories/territory[@type="001"]
Asia	Asie	एशिया		//ldml/localeDisplayNames/territories/territory[@type="142"]
Europe	Europe	यूरोप		//ldml/localeDisplayNames/territories/territory[@type="150"]
Americas	Amériques	अमेरिका		//ldml/localeDisplayNames/territories/territory[@type="019"]
Africa	Afrique	अफ्रीका		//ldml/localeDisplayNames/territories/territory[@type="002"]
Oceania	Océanie	ओशिनिया		//ldml/localeDisplayNames/territories/territory[@type="009"]
European Union	Union européenne	यूूरोपीय संघ		//ldml/localeDisplayNames/territories/territory[@type="EU"]
Eurozone	zone euro	यूरोजोन		//ldml/localeDisplayNames/territories/territory[@type="EZ"]
