English	French	Translation	Comments	xpath	ext_id
AM	AM	AM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="am"]	dw2-1_XXX
a	AM	AM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="am"]	dw2-2_XXX
PM	PM	PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="pm"]	dw2-3_XXX
p	PM	PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="pm"]	dw2-4_XXX
morning	matin	mɔnin		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-5_XXX
in the morning	du matin	na mɔnin		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-6_XXX
7 in the morning	7 du matin	7 oklɔk mɔnin	Sometimes Krio uses "na". But it depends on the context. It is left to the discretion of the translator	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-7_XXX
afternoon	après-midi	aftanun		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-8_XXX
in the afternoon	de l’après-midi	na aftanun		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-9_XXX
1 in the afternoon	1 de l’après-midi	1 oklɔk aftanun		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-10_XXX
evening	soir	ivintɛm		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-11_XXX
in the evening	du soir	na ivintɛm		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-12_XXX
9 in the evening	9 du soir	9 oklɔk ivintɛm		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-13_XXX
night	nuit	nɛt		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-14_XXX
at night	à la nuit	na nɛt		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-15_XXX
midnight	minuit	midulnɛt		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="midnight"]	dw2-16_XXX
DAYS OF THE WEEK / JOURS DE LA SEMAINE					
"In English there are 4 ways to write the days of the week: full form, medium abbreviation, short abbreviation, and shortest abbreviation. Does your language have the same 4 forms? If yes, please enter them in Column B. If your language has LESS than 4 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language has MORE than 4 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.) 
En anglais, il existe quatre façons d’écrire les jours de la semaine : forme complète, abréviation moyenne, abréviation courte et abréviation la plus courte. Toutes ces quatre formes existent-elles dans votre langue ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de quatre formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes, puis le cas échéant, indiquer comment on les écrit dans votre langue. (Consultez les EXEMPLES VISUELS pour mieux comprendre les types d'abréviations.)                                               "					
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Sunday	Dimanche	Sɔnde		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sun"]	wk-1_XXX
Monday	Lundi	Mɔnde		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="mon"]	wk-2_XXX
Tuesday	Mardi	Tyusde		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="tue"]	wk-3_XXX
Wednesday	Mercredi	Wɛnsde		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="wed"]	wk-4_XXX
Thursday	Jeudi	Tɔsde		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="thu"]	wk-5_XXX
Friday	Vendredi	Frayde		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="fri"]	wk-6_XXX
Saturday	Samedi	Satide		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sat"]	wk-7_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Sun	Dim	Sɔn		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sun"]	wk-8_XXX
Mon	Lun	Mɔn		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="mon"]	wk-9_XXX
Tue	Mar	Tyu		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="tue"]	wk-10_XXX
Wed	Mer	Wɛn		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="wed"]	wk-11_XXX
Thur	Jeu	Tɔs		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="thu"]	wk-12_XXX
Fri	Ven	Fra		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="fri"]	wk-13_XXX
Sat	Sam	Sat		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sat"]	wk-14_XXX
ENGLISH (SHORT-LENGTH FORM)	FRENCH (SHORT-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Su	Di	Sɔ	We use this 2-letter format as another variation.	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="sun"]	wk-15_XXX
Mo	Lu	Mɔ		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="mon"]	wk-16_XXX
Tu	Ma	Ty		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="tue"]	wk-17_XXX
We	Me	Wɛ		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="wed"]	wk-18_XXX
Th	Je	Tɔ		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="thu"]	wk-19_XXX
Fr	Ve	Fr		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="fri"]	wk-20_XXX
Sa	Sa	Sa		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="sat"]	wk-21_XXX
ENGLISH (SHORTEST-LENGTH FORM)	FRENCH (SHORTEST-LENGTH FORM)	Correction (if necessary/si nécessaire)	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
S	D	S		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="sun"]	wk-22_XXX
M	L	M		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="mon"]	wk-23_XXX
T	M	T		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="tue"]	wk-24_XXX
W	M	W		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="wed"]	wk-25_XXX
T	J	T		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="thu"]	wk-26_XXX
F	V	F		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="fri"]	wk-27_XXX
S	S	S		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="sat"]	wk-28_XXX
MONTH WORDS / TERMINOLOGIE DES MOIS					
"In English there are 3 ways to write the months of the year: full form, medium abbreviation, and shortest abbreviation. Does your language have the same 3 forms? If yes, please enter them in Column B. If your language has LESS than 3 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 3 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.)
En anglais, il existe trois façons d’écrire les mois de l’année : forme complète, abréviation moyenne et abréviation la plus courte. Votre langue utilise-t-elle aussi ces trois formes ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de trois formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes. (Consultez les EXEMPLES VISUELS pour mieux comprendre les abréviations.)"					
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	Correction (if necessary/si nécessaire)	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
January 	Janvier 	Janwari		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="1"]	mw-1_XXX
February	Février	Fɛbwari		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="2"]	mw-2_XXX
March	Mars	Mach		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="3"]	mw-3_XXX
April	Avril	Epril		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="4"]	mw-4_XXX
May	Mai	Me		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="5"]	mw-5_XXX
June	Juin	Jun		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="6"]	mw-6_XXX
July	Juillet	Julay		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="7"]	mw-7_XXX
August	Août	Ɔgɔst		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="8"]	mw-8_XXX
September	Septembre	Sɛptɛmba		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="9"]	mw-9_XXX
October	Octobre	Ɔktoba		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="10"]	mw-10_XXX
November	Novembre	Novɛmba		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="11"]	mw-11_XXX
December	Décembre	Disɛmba		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="12"]	mw-12_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	Correction (if necessary/si nécessaire)	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
Jan	Janv.	Jan		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="1"]	mw-13_XXX
Feb	Févr.	Fɛb		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="2"]	mw-14_XXX
Mar	Mars	Ma		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="3"]	mw-15_XXX
Apr	Avr.	Epr		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="4"]	mw-16_XXX
May	Mai	Me		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="5"]	mw-17_XXX
Jun	Juin	Jun		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="6"]	mw-18_XXX
Jul	Juil.	Jul 		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="7"]	mw-19_XXX
Aug	Auôt	Ɔgɔ		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="8"]	mw-20_XXX
Sep	Sept.	Sɛp		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="9"]	mw-21_XXX
Oct	Oct.	Ɔkt		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="10"]	mw-22_XXX
Nov	Nov.	Nov 		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="11"]	mw-23_XXX
Dec	Déc.	Dis		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="12"]	mw-24_XXX
ENGLISH (SHORTEST-LENGTH FORM)	FRENCH (SHORTEST-LENGTH FORM)	Correction (if necessary/si nécessaire)	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
J	J	J		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="1"]	mw-25_XXX
F	F	F		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="2"]	mw-26_XXX
M	M	M		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="3"]	mw-27_XXX
A	A	E		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="4"]	mw-28_XXX
M	M	M		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="5"]	mw-29_XXX
J	J	J		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="6"]	mw-30_XXX
J	J	J		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="7"]	mw-31_XXX
A	A	Ɔ		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="8"]	mw-32_XXX
S	S	S		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="9"]	mw-33_XXX
O	O	Ɔ		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="10"]	mw-34_XXX
N	N	N		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="11"]	mw-35_XXX
D	D	D		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="12"]	mw-36_XXX
HOURS / HEURES					
ENGLISH	FRENCH	Correction (if necessary/si nécessaire)	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
3 PM - 4 PM	15 h 00–16 h 00	3 PM - 4 PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hm"]	hr-1_XXX
3 - 4 PM	15–16 h 	3 - 4 PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hm"]	hr-2_XXX
3:00 PM – 4:00 PM	15 h 00–16 h 00	3:00 PM – 4:00 PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hm"]	hr-3_XXX
3:00–4:00 PM	15 h 00–16 h 00	3:00–4:00 PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hm"]	hr-4_XXX
3:00–3:15 PM	15 h 00–15 h 15	3:00–3:15 PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hms"]	hr-5_XXX
10:00 AM – 2:00 PM PT	10 h 00–14 h 00 PT	10:00 AM – 2:00 PM PT		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hms"]	hr-6_XXX
1:00–2:00 PM PT	13 h 00–14 h 00 PT	1:00–2:00 PM PT		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hmv"]	hr-7_XXX
1:00–1:15 PM PT	13 h 00–13 h 15 PT	1:00–1:15 PM PT			
10 AM – 2 PM PT	10 h 00–14 h 00 PT	10 AM – 2 PM PT			
1–2 PM PT	13–14 h PT	1–2 PM PT		//ldml/dates/fields/field[@type="month"]/relative[@type="-1"]	rt-1_XXX
14:00–15:00 PT	14 h 00–15 h PT	14:00–15:00 PT		//ldml/dates/fields/field[@type="week"]/relative[@type="-1"]	rt-2_XXX
14:00–14:15 PT	14 h 00–14 h 15 PT	14:00–14:15 PT		//ldml/dates/fields/field[@type="day"]/relative[@type="-1"]	rt-3_XXX
14–15 PT	14–15 h PT	14–15 PT		//ldml/dates/fields/field[@type="year"]/relative[@type="-1"]	rt-4_XXX
14–15	14–15	14–15		//ldml/dates/fields/field[@type="month"]/relative[@type="0"]	rt-5_XXX
14:00–14:15	14 h 00–14 h 15	14:00–14:15		//ldml/dates/fields/field[@type="week"]/relative[@type="0"]	rt-6_XXX
14:00–15:00	14 h 00–15 h 00	14:00–15:00		//ldml/dates/fields/field[@type="day"]/relative[@type="0"]	rt-7_XXX
10 AM – 2 PM	10 h 00–14 h 00	10 AM – 2 PM		//ldml/dates/fields/field[@type="year"]/relative[@type="0"]	rt-8_XXX
1–2 PM	13–14 h	1–2 PM		//ldml/dates/fields/field[@type="day"]/relative[@type="1"]	rt-9_XXX
10:00 AM – 2:00 PM	10 h 00–14 h 00	10:00 AM – 2:00 PM		//ldml/dates/fields/field[@type="month"]/relative[@type="1"]	rt-10_XXX
3:00–4:00 PM	15 h 00–16 h 00	3:00–4:00 PM		//ldml/dates/fields/field[@type="week"]/relative[@type="1"]	rt-11_XXX
3:00–3:15 PM	15 h 00–15 h 15	3:00–3:15 PM		//ldml/dates/fields/field[@type="year"]/relative[@type="1"]	rt-12_XXX
10:00 AM – 2:00 PM PT	10 h 00–14 h 00 PT	10:00 AM – 2:00 PM PT			
1:00–2:00 PM PT	13 h 00–14 h 00 PT	1:00–2:00 PM PT			
1:00–1:15 PM PT	13 h 00–13 h 15 PT	1:00–1:15 PM PT		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="a"]	ti-1_XXX
10 AM – 2 PM PT	10 h 00–14 h 00 PT	10 AM – 2 PM PT		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="h"]	ti-2_XXX
