id	ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE
uli-594_189	He finished school 1 year ago	Il a terminé ses études il y a un an.	1 साल पहिले उनकर स्कूल के पढ़ाई पूरा हो गइल
uli-594_190	He finished school 2 years ago	Il a terminé ses études il y a 2 ans	2 साल पहिले उनकर स्कूल के पढ़ाई पूरा हो गइल
uli-594_191	He finished school 5 years ago	Il a terminé ses études il y a 5 ans	5 साल पहिले उनकर स्कूल के पढ़ाई पूरा हो गइल
uli-594_192	Does this picture look accurate?	Cette image vous semble-t-elle fidèle ?	का ई फोटो सही लागत बा?
uli-594_193	If this picture doesn't look accurate, why? Please explain.	Si cette image ne vous semble pas exacte, pourquoi ? Veuillez expliquer.	अगर ई फोटो सही नइखे लागत, त एकर कारण बताईं।
uli-594_194	What would be a more accurate way?	Quelle serait une méthode plus précise ?	अउरी नीमन तरीका का हो सकेला?
uli-594_195	Correct	Correct	सही
uli-594_196	Incorrect	Incorrect	गलत
uli-594_197	Computer	Ordinateur	कंप्यूटर
uli-594_198	Telephone	Téléphone	टेलीफोन
uli-594_199	Smart Phone	Smartphone	स्मार्ट फोन
uli-594_200	App	Application	ऐप
uli-594_201	Website	Site web	वेबसाइट
uli-594_202	Internet	Internet	इंटरनेट
uli-594_203	email address	adresse email	ई-मेल एड्रेस
uli-594_204	email	e-mail	ई-मेल
uli-594_205	Bank	Banque	बैंक
uli-594_206	Movie	Film	सिनेमा
uli-594_207	Game	Jeu	खेल/गेम
uli-594_208	Sports	Sportif	खेल-कूद
uli-594_209	Education	Éducation	शिक्षा
uli-594_210	Doctor	Médecin	डॉक्टर
uli-594_211	School	École	स्कूल
uli-594_212	Weather	Météo	मौसम
uli-594_213	Calendar	Calendrier	कैलेंडर
uli-594_214	Clock	Horloge	घड़ी
uli-594_215	Temperature	Température	तापमान
uli-594_216	Hotel	Hôtel	होटल
uli-594_217	Airplane	Avion	हवाई जहाज
uli-594_218	Train	Former	ट्रेन
uli-594_219	Restaurant	Restaurant	रेस्टोरेंट
uli-594_220	Hospital	Hôpital	अस्पताल
uli-594_221	Car	Voiture	कार
uli-594_222	Motocycle	Moto	मोटरसाइकिल
uli-594_223	Bus	Bus	बस
uli-594_224	Taxi	Taxi	टैक्सी
uli-594_225	Post Office	Bureau de poste	डाकघर
